ind1	ind2	relationship
1411	1413	first
1412	1418	third
913	919	second
915	916	second
908	1285	third
920	921	first
922	923	first
922	925	first
923	925	first
987	988	first
982	983	first
468	471	first
468	984	second
473	1089	first
466	1088	first
1085	1088	second
465	1085	second
477	1093	first
457	1093	first
477	1084	third
457	477	third
457	1084	second
451	464	first
472	1091	second
448	461	second
466	1085	third
465	466	third
465	1088	third
455	1085	third
451	1091	third
451	472	third
451	1091	third
448	460	third
453	479	third
794	801	first
511	532	first
1280	1281	first
616	633	first
617	635	second
617	619	third
610	612	third
614	615	third
614	626	third
614	642	third
615	626	third
615	628	third
618	701	third
622	642	third
630	631	third
571	592	first
569	603	first
568	585	second
590	605	first
570	591	second
569	585	third
585	603	third
577	585	third
568	577	third
581	605	third
573	605	third
581	590	third
558	590	third
581	604	third
557	565	third
557	578	third
557	594	third
559	584	third
562	594	third
564	594	third
567	588	third
573	583	third
575	604	third
694	695	first
681	684	second
682	743	second
723	743	second
726	728	second
693	742	second
681	734	third
682	723	third
679	693	third
679	742	third
675	737	third
677	724	third
678	735	third
683	690	third
688	727	third
691	746	third
696	730	third
697	733	third
724	725	third
732	735	third
82	84	first
167	203	first
106	113	first
112	128	second
288	292	first
321	326	third
154	157	third
173	175	third
102	105	third
102	108	third
104	118	third
105	108	third
121	122	third
292	328	third
286	321	third
286	319	third
267	277	third
274	313	third
1321	1325	first
1323	1324	first
1203	1210	first
1340	1343	first
713	718	first
1339	1342	third
660	789	first
660	824	first
788	789	first
788	824	first
789	824	first
655	657	first
656	657	first
658	978	first
658	664	first
664	978	second
490	662	first
490	663	first
661	825	first
661	823	second
709	710	first
707	708	first
705	706	first
793	970	first
703	793	first
702	792	first
704	827	first
862	867	first
858	866	first
866	867	second
876	878	first
854	874	second
705	709	third
707	709	third
705	707	third
705	708	third
862	866	third
858	867	third
865	874	third
873	874	third
865	873	third
859	865	third
868	869	third
1016	1018	first
1007	1016	first
999	1007	first
997	999	first
1004	1012	first
1004	1007	first
1007	1018	second
1004	1018	second
1004	1016	first
1005	997	first
1005	1006	second
1004	1017	third
1014	1017	first
998	1000	first
998	1011	first
998	1008	first
1008	1011	first
1000	1008	second
1000	1011	second
995	996	first
1047	1049	first
1048	1049	first
1037	1039	first
1037	1040	first
1038	1039	first
1038	1040	first
1039	1040	first
1048	1050	first
1048	1038	first
1038	1050	first
1048	1052	first
1050	1052	first
1038	1052	first
1054	1055	first
1043	1046	first
1043	1045	first
1044	1045	first
1045	1046	first
1041	1042	first
1041	1053	second
1060	1061	first
1054	1056	third
1043	1044	third
1043	1053	third
1042	1046	third
1037	1061	third
839	840	first
839	841	first
839	842	first
839	850	first
840	841	first
840	842	first
840	850	first
841	842	first
841	850	first
842	850	first
837	839	first
837	840	first
837	841	second
837	842	first
837	850	first
838	839	first
838	840	first
838	841	second
838	842	second
838	850	second
838	851	first
833	851	first
830	851	first
843	848	first
846	848	first
833	834	first
834	835	first
844	852	first
844	847	first
830	833	third
