pop	nrow	type
Vietnam_N	13	a
anc_Guam	2	a
Suogang	2	a
Liangdao	2	a
Vietnam_BA	6	a
anc_Vanuatu	22	a
Bajo	10	m
Lebbo	8	m
Baining_Marabu	10	m
Tolai	23	m
Sulka	17	m
Lavongai	15	m
Nailik	9	m
Kove	10	m
Buka	7	m
Teop	8	m
Southwest_Bougainville	2	m
Saposa	10	m
Mengen	10	m
Kuot_Lamalaua	8	m
Mussau	10	m
Kuot_Kabil	10	m
Madak	10	m
Notsi	7	m
Tigak	8	m
Nakanai_Bileki	7	m
Mamusi	19	m
Ata	8	m
Kol_New_Britain	2	m
Melamela	8	m
Mamusi_Paleabu	6	m
Mangseng	5	m
Lapita_Vanuatu	4	m
Lapita_Tonga	3	m
French	28	m
Papuan	20	m
Nasioi	9	m
Cambodian	10	m
Mbuti	10	m
Japanese	29	m
Han	43	m
Tujia	10	m
Yi	10	m
Miao	10	m
Oroqen	9	m
Daur	9	m
Hezhen	9	m
Xibo	9	m
Yoruba	70	m
Uyghur	10	m
Dai	10	m
China_Lahu	8	m
She	10	m
Naxi	8	m
Tu	10	m
Barito	9	m
Semende	10	m
Tongan	10	m
New_Guinea	20	m
Mamanwa1	5	m
Mamanwa	13	m
Atayal	10	m
Ami	10	m
Korean	6	m
Kinh	8	m
Thai	8	m
Ranongga	6	m
Choiseul	7	m
Kolombangara	6	m
Malaita	6	m
Ontong_Java	8	m
Russell	4	m
Nggela	6	m
Savo	7	m
Santa_Isabel	7	m
Vella_Lavella	6	m
Tikopia	6	m
Santa_Cruz	8	m
Rennell_and_Bellona	7	m
Makira	7	m
Papuan_Central	5	m
Papuan_Gulf	3	m
Burmese	10	m
Dusun	10	m
Kankanaey	10	m
Ilocano	2	m
Tagalog	5	m
Malay	9	m
Murut	9	m
Vietnamese	10	m
Visayan	4	m
Tonga_650BP	1	a
Solomon_Islands_500BP	1	a
French_Polynesia_150BP	3	a
Baining_Malasait	4	m
Thailand_IA	6	a
Thailand_BA	4	a
Cambodia_IA	1	a
Manus	2	m
Myanmar_BA	1	a
Nakanai_Loso	6	m
anc_Japan	1	a
anc_Indonesia	2	a
anc_Laos	3	a
Laos_Hoabinhian	1	a
Malaysia_H	2	a
Malaysia_Hoabinhian	1	a
Malaysia_N	1	a
Philippines_1850BP	1	a
Vietnam_H	1	a
Samoan	8	m
RapaNui	4	m
Lao	10	m
Hakka_Taiwan	9	m
Han_Taiwan	10	m
Micronesian	10	m
Tahiti	4	m
Gimi	8	m
Vanuatu	170	m
modern_Guam	20	m
