sample	End	Pos	C	C>T	freq
SP4211-D5865_deam	3p	1	197.0	123.0	0.6243654822335025
SP4211-D5865_deam	3p	2	160.0	70.0	0.4375
SP4211-D5865_deam	3p	3	152.0	50.0	0.32894736842105265
SP4211-D5865_deam	5p	1	256.0	233.0	0.91015625
SP4211-D5865_deam	5p	2	161.0	101.0	0.6273291925465838
SP4211-D5865_deam	5p	3	145.0	55.0	0.3793103448275862
SP4211-F5061_deam	3p	1	2794.0	1979.0	0.7083035075161059
SP4211-F5061_deam	3p	2	2547.0	1350.0	0.5300353356890459
SP4211-F5061_deam	3p	3	2347.0	873.0	0.37196420962931404
SP4211-F5061_deam	5p	1	3709.0	3207.0	0.864653545430035
SP4211-F5061_deam	5p	2	2471.0	1476.0	0.5973290165924727
SP4211-F5061_deam	5p	3	1977.0	746.0	0.37733940313606473
SP4211-F5060_all	3p	1	4680.0	1592.0	0.3401709401709402
SP4211-F5060_all	3p	2	4721.0	1068.0	0.22622325778436772
SP4211-F5060_all	3p	3	4606.0	695.0	0.1508901432913591
SP4211-F5060_all	5p	1	5073.0	2598.0	0.5121230041395624
SP4211-F5060_all	5p	2	4239.0	1081.0	0.2550129747581977
SP4211-F5060_all	5p	3	4159.0	564.0	0.13560952151959604
SP4210-D5864_all	3p	1	770.0	241.0	0.312987012987013
SP4210-D5864_all	3p	2	813.0	178.0	0.21894218942189422
SP4210-D5864_all	3p	3	776.0	107.0	0.13788659793814434
SP4210-D5864_all	5p	1	843.0	487.0	0.5776986951364176
SP4210-D5864_all	5p	2	706.0	217.0	0.3073654390934844
SP4210-D5864_all	5p	3	699.0	117.0	0.16738197424892703
SP4210-F5059_all	3p	1	1133.0	421.0	0.3715798764342454
SP4210-F5059_all	3p	2	1152.0	260.0	0.22569444444444445
SP4210-F5059_all	3p	3	1142.0	171.0	0.14973730297723292
SP4210-F5059_all	5p	1	1167.0	639.0	0.5475578406169666
SP4210-F5059_all	5p	2	1010.0	287.0	0.28415841584158413
SP4210-F5059_all	5p	3	1001.0	133.0	0.13286713286713286
SP4210-F5056_deam	3p	1	96.0	70.0	0.7291666666666666
SP4210-F5056_deam	3p	2	93.0	60.0	0.6451612903225806
SP4210-F5056_deam	3p	3	83.0	39.0	0.46987951807228917
SP4210-F5056_deam	5p	1	115.0	100.0	0.8695652173913043
SP4210-F5056_deam	5p	2	71.0	31.0	0.43661971830985913
SP4210-F5056_deam	5p	3	63.0	21.0	0.3333333333333333
SP4210-D5864_deam	3p	1	389.0	238.0	0.6118251928020566
SP4210-D5864_deam	3p	2	349.0	185.0	0.5300859598853869
SP4210-D5864_deam	3p	3	322.0	111.0	0.3447204968944099
SP4210-D5864_deam	5p	1	551.0	486.0	0.8820326678765881
SP4210-D5864_deam	5p	2	361.0	223.0	0.6177285318559557
SP4210-D5864_deam	5p	3	309.0	121.0	0.39158576051779936
SP4211-F5062_deam	3p	1	55.0	39.0	0.7090909090909091
SP4211-F5062_deam	3p	2	57.0	28.0	0.49122807017543857
SP4211-F5062_deam	3p	3	46.0	21.0	0.45652173913043476
SP4211-F5062_deam	5p	1	93.0	82.0	0.8817204301075269
SP4211-F5062_deam	5p	2	54.0	36.0	0.6666666666666666
SP4211-F5062_deam	5p	3	49.0	18.0	0.3673469387755102
SP4211-F5061_all	3p	1	952.0	393.0	0.41281512605042014
SP4211-F5061_all	3p	2	947.0	238.0	0.25131995776135163
SP4211-F5061_all	3p	3	930.0	181.0	0.19462365591397848
SP4211-F5061_all	5p	1	1049.0	602.0	0.5738798856053384
SP4211-F5061_all	5p	2	869.0	307.0	0.3532796317606444
SP4211-F5061_all	5p	3	765.0	154.0	0.20130718954248367
SP4211-F5062_all	3p	1	1672.0	572.0	0.34210526315789475
SP4211-F5062_all	3p	2	1776.0	417.0	0.23479729729729729
SP4211-F5062_all	3p	3	1584.0	241.0	0.15214646464646464
SP4211-F5062_all	5p	1	1861.0	1041.0	0.5593766792047287
SP4211-F5062_all	5p	2	1538.0	454.0	0.2951885565669701
SP4211-F5062_all	5p	3	1444.0	225.0	0.15581717451523547
SP4211-D5865_all	3p	1	759.0	276.0	0.36363636363636365
SP4211-D5865_all	3p	2	772.0	165.0	0.21373056994818654
SP4211-D5865_all	3p	3	808.0	115.0	0.14232673267326731
SP4211-D5865_all	5p	1	811.0	505.0	0.6226880394574599
SP4211-D5865_all	5p	2	684.0	219.0	0.3201754385964912
SP4211-D5865_all	5p	3	659.0	135.0	0.20485584218512898
SP4210-F5056_all	3p	1	238.0	91.0	0.38235294117647056
SP4210-F5056_all	3p	2	234.0	45.0	0.19230769230769232
SP4210-F5056_all	3p	3	225.0	26.0	0.11555555555555555
SP4210-F5056_all	5p	1	269.0	118.0	0.43866171003717475
SP4210-F5056_all	5p	2	226.0	48.0	0.21238938053097345
SP4210-F5056_all	5p	3	235.0	29.0	0.12340425531914893
SP4210-F5058_all	3p	1	2383.0	795.0	0.33361309274024337
SP4210-F5058_all	3p	2	2317.0	495.0	0.21363832542080277
SP4210-F5058_all	3p	3	2313.0	326.0	0.14094249891915261
SP4210-F5058_all	5p	1	2516.0	1243.0	0.4940381558028617
SP4210-F5058_all	5p	2	2140.0	547.0	0.25560747663551403
SP4210-F5058_all	5p	3	2066.0	276.0	0.1335914811229429
SP4211-F5063_deam	3p	1	1694.0	1187.0	0.7007083825265643
SP4211-F5063_deam	3p	2	1584.0	801.0	0.5056818181818182
SP4211-F5063_deam	3p	3	1504.0	550.0	0.36569148936170215
SP4211-F5063_deam	5p	1	2311.0	2019.0	0.8736477715274773
SP4211-F5063_deam	5p	2	1498.0	887.0	0.5921228304405874
SP4211-F5063_deam	5p	3	1219.0	458.0	0.3757178014766202
SP4211-F5060_deam	3p	1	1777.0	1262.0	0.7101857062464828
SP4211-F5060_deam	3p	2	1669.0	851.0	0.5098861593768724
SP4211-F5060_deam	3p	3	1455.0	549.0	0.37731958762886597
SP4211-F5060_deam	5p	1	2388.0	2072.0	0.8676716917922948
SP4211-F5060_deam	5p	2	1538.0	891.0	0.5793237971391417
SP4211-F5060_deam	5p	3	1276.0	458.0	0.35893416927899685
SP4211-F5063_all	3p	1	5597.0	2180.0	0.389494371984992
SP4211-F5063_all	3p	2	5752.0	1482.0	0.25764951321279556
SP4211-F5063_all	3p	3	5720.0	1065.0	0.1861888111888112
SP4211-F5063_all	5p	1	6168.0	3630.0	0.5885214007782101
SP4211-F5063_all	5p	2	5023.0	1592.0	0.31694206649412704
SP4211-F5063_all	5p	3	4932.0	832.0	0.16869424168694241
SP4210-F5057_all	3p	1	1292.0	415.0	0.32120743034055727
SP4210-F5057_all	3p	2	1291.0	219.0	0.16963594113090627
SP4210-F5057_all	3p	3	1226.0	130.0	0.10603588907014681
SP4210-F5057_all	5p	1	1244.0	548.0	0.4405144694533762
SP4210-F5057_all	5p	2	1126.0	258.0	0.2291296625222025
SP4210-F5057_all	5p	3	1135.0	154.0	0.1356828193832599
SP4210-F5058_deam	3p	1	1469.0	1039.0	0.7072838665759019
SP4210-F5058_deam	3p	2	1276.0	647.0	0.5070532915360502
SP4210-F5058_deam	3p	3	1185.0	431.0	0.36371308016877635
SP4210-F5058_deam	5p	1	1903.0	1623.0	0.8528638991066737
SP4210-F5058_deam	5p	2	1250.0	722.0	0.5776
SP4210-F5058_deam	5p	3	1008.0	369.0	0.36607142857142855
SP4210-F5057_deam	3p	1	753.0	555.0	0.7370517928286853
SP4210-F5057_deam	3p	2	623.0	312.0	0.5008025682182986
SP4210-F5057_deam	3p	3	608.0	201.0	0.3305921052631579
SP4210-F5057_deam	5p	1	905.0	755.0	0.8342541436464088
SP4210-F5057_deam	5p	2	612.0	358.0	0.5849673202614379
SP4210-F5057_deam	5p	3	541.0	212.0	0.39186691312384475
SP4210-F5059_deam	3p	1	227.0	149.0	0.6563876651982379
SP4210-F5059_deam	3p	2	206.0	103.0	0.5
SP4210-F5059_deam	3p	3	196.0	73.0	0.37244897959183676
SP4210-F5059_deam	5p	1	277.0	245.0	0.8844765342960289
SP4210-F5059_deam	5p	2	161.0	96.0	0.5962732919254659
SP4210-F5059_deam	5p	3	155.0	47.0	0.3032258064516129
